,Company,Operating_System,Model,RAM(GB),Hard Disk(GB),Price(₹),Rating,Total Reviews,Product Links
31,Dell,Windows 11,"Inspiron 3511 Laptop, Intel i3-1115G4, 8GB DDR4 & 512GB SSD, Windows 11 + MSO'21, 15.6"" (39.62Cms) FHD WVA AG, Carbon Black (D560801WIN9B, 1.8Kgs)",8,512,40990,3.6,51,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfYXRmX25leHQ6MjAxMzE0ODA4NTk4OTg6OjA6Og&url=%2FDell-Inspiron-Windows-i3-1115G4-39-62Cms%2Fdp%2FB0B468SB8G%2Fref%3Dsr_1_257_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-257-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
32,Xiaomi,Windows 11,NotebookPro QHD+ IPS AntiGlare Display Intel Core i5-11300H 11th Gen 14 inch(35.56 cm) Thin & Light Laptop(8GB/512GB SSD/Iris Xe Graphics/Windows 11/MS Office 21/Backlight KB/FP Sensor/1.4 Kg),8,512,50999,4.3,"1,771",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NzE5OTY5MzIwNjg3NjM0OjE2ODEzNzAyMzQ6c3BfYXRmX25leHQ6MjAwNjYyOTk5MzI4OTg6OjA6Og&url=%2FNotebook-Display-i5-11300H-Graphics-Fingerprint%2Fdp%2FB098XM2SJ4%2Fref%3Dsr_1_258_sspa%3Fkeywords%3Dlaptops%26qid%3D1681370234%26sr%3D8-258-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
33,ASUS,Windows 11,"Ryzen 9 Octa Core 9th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) M3500QC-L901WS Gaming Laptop (15.6 inch, Quiet Blue, with MS Office",16 ,1,91990,4.1,4,https://www.amazon.in/ASUS-Ryzen-Octa-Core-M3500QC-L901WS/dp/B0BSR2BVW7/ref=sr_1_259?keywords=laptops&qid=1681370234&sr=8-259
34,HP,,"Chromebook MediaTek Kompanio 500 11.6 inch(29.5 cm) HD, Anti -Glare, Touchscreen Laptop(4 GB LPDDR4/64 GB EMMC Storage/Chrome OS/Dual Speakers/Ash Gray/1.07 Kg)-11a-na0004MU",4 ,,19990,3.7,153,https://www.amazon.in/HP-Chromebook-MediaTek-Touchscreen-11a-na0004MU/dp/B09GKQRLF2/ref=sr_1_260?keywords=laptops&qid=1681370234&sr=8-260
35,ASUS,Windows 11,"VivoBook 15, Intel Core i3-1115G4 11th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (8GB/512 SSD/Windows 11/Office 2021/Silver/1.8 kg), X515EA-EJ322WS",8,512,38990,3.9,27,https://www.amazon.in/ASUS-VivoBook-i3-1115G4-15-6-inch-X515EA-EJ322WS/dp/B09PHT1CMS/ref=sr_1_261?keywords=laptops&qid=1681370234&sr=8-261
36,Lenovo,,"Yoga Slim 7 Pro Intel Evo Core i5-11320H 14""(35.6cm) 2.8K Laptop(16GB/512GB SSD/Win11/MSO 2021/90Hz/3Yr Brand Warranty/1.3Kg),82NC00EWIN,5% Instant Off on APay ICICI CreditCard (Prime only)",16,512,69990,4.2,117,https://www.amazon.in/Lenovo-i5-11320H-400nits-Warranty-82NC00EWIN/dp/B0B56CVZVS/ref=sr_1_262?keywords=laptops&qid=1681370234&sr=8-262
37,ASUS,,"Zenbook Pro 14 Duo OLED (2022) Dual Screen Laptop, 14.5"" (36.83 cm) 2.8K OLED 120Hz Touch, Intel EVO Core i9 12th Gen, (32GB/1TB SSD/4GB RTX 3050 Ti/Win 11/Office/Black/1.75 Kg) UX8402ZE-LM921WS",32,1,144990,3.5,6,https://www.amazon.in/ASUS-Zenbook-Screen-Laptop-UX8402ZE-LM921WS/dp/B0B8SLJKX7/ref=sr_1_263?keywords=laptops&qid=1681370234&sr=8-263
38,HP,,"14s, 12th Gen Intel Core i3-1215U, 14-inch(35.6 cm) Micro-Edge, Anti-Glare, FHD Laptop(8GB RAM/512GB SSD/Alexa/Win 11/MSO 2021/Intel UHD Graphics/Dual Speakers/1.41 Kg/Natural Silver) 14s-dy5008TU",8,512,43990,4.1,558,https://www.amazon.in/HP-i3-1215U-Micro-Edge-Anti-Glare-14s-dy5008TU/dp/B0BZS88YPT/ref=sr_1_264?keywords=laptops&qid=1681370234&sr=8-264
39,Acer,Windows 11,"Aspire 7 Gaming 12th Gen Intel Core i5-(12 cores) (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) A715-5G/ Gaming Laptop (15.6 inch, Charcoal Black, 2.1 Kg",8 ,512,56990,3.0,2,https://www.amazon.in/Acer-Windows-Graphics-GeForce-Charcoal/dp/B0B9HJTV3N/ref=sr_1_265?keywords=laptops&qid=1681370234&sr=8-265
40,ASUS,Windows 11,"VivoBook 15 (2022) Intel Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ592WS Thin and Light Laptop (15.6 inch [40cm], Transparent Silver, 1.80 kg, with MS Office)",8 ,512,44790,2.6,5,https://www.amazon.in/ASUS-VivoBook-Intel-Core-10th/dp/B0BLNL4BMK/ref=sr_1_266?keywords=laptops&qid=1681370234&sr=8-266
